"","ID","log2FC","AveExpr","t","P.Value","adj.P.Val","B"
"15824","RCVRN",-0.853345219121236,1.5785177442636,-15.3082142243656,1.33535675696764e-52,2.63318998906448e-49,107.294758516457
"7495","GNGT1",-1.14544949416997,2.53795231695784,-15.0584131827376,5.76909899619592e-51,1.03418966459988e-47,103.545181524987
"12487","WIF1",1.86901733547323,2.90010452441392,14.7970905021436,2.78060552174989e-49,4.56923002361551e-46,99.6872238668685
"16728","PDE6G",-1.62137681902602,3.49041859539097,-14.5977764517345,5.11214372934244e-48,7.20045444277882e-45,96.7891367565237
"13387","NRL",-1.16480341031131,2.97725349659051,-13.8042062760713,3.78440654108074e-43,3.55355774207482e-40,85.6323309455723
"3063","IGFBP5",0.671619811748222,0.835150067194266,13.7913386978425,4.51624377550232e-43,4.04799140950592e-40,85.4564629909683
"3998","RHO",-1.40191046653918,3.4486088298243,-13.2778134357018,4.59352654835401e-40,3.12343965541354e-37,78.5693043757557
"10490","ROM1",-0.830428925929411,2.55631874968892,-13.0026815877262,1.6896011850191e-38,1.04116393023099e-35,74.9850037144488
"13813","CALM1",0.959255351504507,2.1116420287691,12.8301078436787,1.56154333960249e-37,9.33093124655195e-35,72.7744486307525
"3194","SAG",-1.62835955609263,5.38987606390921,-12.6570053961587,1.41150050999289e-36,7.95239387329993e-34,70.5863128098732
"15725","AIPL1",-0.569744515011575,1.44104325319795,-11.5696708588976,7.35420596903105e-31,3.08548058517709e-28,57.5114420583913
"3624","GNAT1",-0.567904893477989,1.79264347220148,-11.4304741401222,3.65040791240384e-30,1.41141948283709e-27,55.9212226220098
"13908","HSP90AA1",-1.05861807347294,4.46697526255537,-11.2550704976098,2.67591316912558e-29,9.59387850581587e-27,53.9444240222841
"3176","PTMA",0.85066734925263,2.83012294062018,10.834930667318,2.79759854405327e-27,9.04358126068629e-25,49.3322396890998
"14463","CRABP1",1.17047636205646,3.45468120053755,9.41854144215606,5.0541584610447e-21,7.27466793382047e-19,35.0627854325533
"11229","VIM",2.16288429253603,7.18396296849336,8.47687696951044,2.47070702191169e-17,2.25554961875354e-15,26.6710210703703
"11548","RGR",0.55372200871748,1.54721019361903,8.42779822983199,3.75653968863886e-17,3.36705482364862e-15,26.257682573985
"2258","RTN4",1.09761008847298,3.99830769996516,8.31293424833865,9.92363374775169e-17,8.36256982358614e-15,25.2996206166103
"2893","FRZB",1.02582501135021,3.36737842815191,7.74056692549587,1.03640158630938e-14,6.32718355431415e-13,20.7203154418601
"6324","HSPA1A",-0.540027785036362,1.57085262057638,-7.47243306297581,8.19466897950822e-14,4.29762440443943e-12,18.6867202848683
"16612","H3F3B",0.693968274638102,4.01413568264397,7.02397697886694,2.22531248760721e-12,9.10392882637481e-11,15.4448740461261
"1533","GLUL",1.47232505103958,5.59260365337713,6.78416399399541,1.20010502885534e-11,4.271637376173e-10,13.7931947050323
"8720","CLU",1.77707713663009,7.37454581653477,6.24898705917425,4.21431566255101e-10,1.1337256555231e-08,10.3132239484805
"727","JUN",-0.696330894635736,1.93977402817182,-6.13465718653182,8.69390104047223e-10,2.17006372933002e-08,9.60669903310714
"11959","GAPDH",0.892446905637991,6.14727987656164,5.30682341222746,1.12735376164274e-07,1.82634635252083e-06,4.87886573806221
"4028","TF",-1.32600371438195,11.7141506147031,-2.59679358210785,0.0094167007359397,0.0341463629665309,-5.82080169917159
"10480","FTH1",-0.573318486502297,8.98546612911254,-2.55034394604476,0.0107690223903964,0.038310364877544,-5.94029741845174
